ID,Name,Brand,Latitude,Longitude,cate_1,cate_2,cate_3,brand:wikidata,Region_ID,Region,BA_ID,BA
368208482,McDonald's,McDonald's,1.3967854,103.8872571,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,2007,region-2008,307.0,Anchorvale
368249892,7-Eleven,7-Eleven,1.3968884,103.8871798,shopping,general_store,convenience_store,Q259340,2007,region-2008,307.0,Anchorvale
368260503,7-Eleven,7-Eleven,1.3908699,103.8899724,shopping,general_store,convenience_store,Q259340,2007,region-2008,307.0,Anchorvale
368278973,7-Eleven,7-Eleven,1.3939865,103.8892811,shopping,general_store,convenience_store,Q259340,2007,region-2008,307.0,Anchorvale
368278996,Shell Shop,Shell,1.3916146,103.8927199,shopping,general_store,convenience_store,Q110716465,2007,region-2008,307.0,Anchorvale
369123892,NTUC Fairprice,NTUC Fairprice,1.385561,103.9025068,shopping,general_store,supermarket,Q6955519,1773,region-1774,303.0,Rivervale
369123937,McDonald's,McDonald's,1.385284,103.9014414,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,1773,region-1774,303.0,Rivervale
369123954,KFC,KFC,1.385183,103.9013526,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,Q524757,1773,region-1774,303.0,Rivervale
369124085,7-Eleven,7-Eleven,1.3857078,103.9023291,shopping,general_store,convenience_store,Q259340,1773,region-1774,303.0,Rivervale
369125094,McDonald's,McDonald's,1.3920248,103.9048398,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,1732,region-1733,303.0,Rivervale
369126039,KFC,KFC,1.3938918,103.9132568,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,Q524757,1740,region-1741,310.0,Punggol Field
369126208,Koufu,Koufu,1.3940165,103.9132983,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,,1740,region-1741,310.0,Punggol Field
369126806,newecon minimart,Econ Minimart,1.395191,103.8993078,shopping,general_store,convenience_store,,1785,region-1786,306.0,Sengkang Town Centre
369127276,Giant,Giant,1.3794345,103.88795,shopping,general_store,supermarket,,1998,region-1999,289.0,Trafalgar
369127590,POSB,POSB Bank,1.392448,103.8950332,life_service,financial_service,bank,Q7120030,1876,region-1877,306.0,Sengkang Town Centre
369127956,OCBC Bank,OCBC,1.3726702,103.8939949,life_service,financial_service,bank,Q2042423,1998,region-1999,210.0,Hougang Central
369128055,NTUC Fairprice,NTUC Fairprice,1.3725281,103.8939238,shopping,general_store,supermarket,Q6955519,1998,region-1999,210.0,Hougang Central
369128085,McDonald's,McDonald's,1.3721746,103.8936806,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,1998,region-1999,210.0,Hougang Central
369128093,KFC,KFC,1.3722709,103.8935426,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,Q524757,1998,region-1999,210.0,Hougang Central
369128135,Long John Silver's,Long John Silver's,1.3722631,103.8939908,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,Q1535221,1998,region-1999,210.0,Hougang Central
369128165,7-Eleven,7-Eleven,1.3827466,103.8932886,shopping,general_store,convenience_store,Q259340,1780,region-1781,296.0,Compassvale
369128171,NTUC Fairprice,NTUC Fairprice,1.3825682,103.8935127,shopping,general_store,supermarket,Q6955519,1780,region-1781,296.0,Compassvale
369129230,Cheers,Cheers,1.3854844,103.9015783,shopping,general_store,convenience_store,Q64154066,1773,region-1774,303.0,Rivervale
369129869,Sengkang Central Post Office,Singapore Post,1.392736,103.8939962,life_service,postal_service,post_office,Q4049531,1876,region-1877,306.0,Sengkang Town Centre
369130468,NTUC Fairprice,NTUC Fairprice,1.3923199,103.904213,shopping,general_store,supermarket,Q6955519,1732,region-1733,303.0,Rivervale
369548445,McDonald's,McDonald's,1.3740336,103.886987,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,1998,region-1999,282.0,Hougang West
370746817,7-Eleven,7-Eleven,1.3904025,103.9013531,shopping,general_store,convenience_store,Q259340,1876,region-1877,306.0,Sengkang Town Centre
370750313,NTUC Fairprice,NTUC Fairprice,1.3943753,103.912923,shopping,general_store,supermarket,Q6955519,1740,region-1741,310.0,Punggol Field
380581806,NTUC Fairprice,NTUC Fairprice,1.3575602,103.8841371,shopping,general_store,supermarket,Q6955519,1927,region-1928,225.0,Lorong Ah Soo
380582666,Suki-ya,Sukiya,1.3594895,103.8854848,food_and_beverage,food_and_beverage_shop,mixed_cuisine,,1927,region-1928,225.0,Lorong Ah Soo
380582730,Burger King,Burger King,1.3596999,103.8852389,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q177054,1927,region-1928,225.0,Lorong Ah Soo
391291499,Coffeeshop,Coffee Shop,1.3817548,103.8970993,food_and_beverage,beverage_shop,coffee_and_tea_shop,,1780,region-1781,296.0,Compassvale
391291543,Giant,Giant,1.3815806,103.8970373,shopping,general_store,supermarket,,1780,region-1781,296.0,Compassvale
393148957,Giant,Giant Hypermarket,1.3312172,103.9483149,shopping,general_store,supermarket,Q4217013,1970,region-1971,145.0,Bedok North
462263947,Jumbo Seafood,Jumbo Seafood,1.3051479,103.9306772,food_and_beverage,food_and_beverage_shop,mixed_cuisine,,1748,region-1749,99.0,Siglap
462263981,SPC,SPC,1.3232062,103.8193298,transportation,vehicle_maintenance,vehicle_fuel_station,,1916,region-1917,141.0,Dunearn
462264013,Jumbo Seafood Gallery,Jumbo Seafood,1.2892876,103.8483036,food_and_beverage,food_and_beverage_shop,mixed_cuisine,,1918,region-1919,78.0,Boat Quay
462264016,Esso Dunearn,Esso,1.3310346,103.7986807,transportation,vehicle_maintenance,vehicle_fuel_station,,2012,region-2013,230.0,Hillcrest
507192845,DBS/POSB,POSB,1.3320265,103.9150647,life_service,financial_service,atm,,2019,region-2020,241.0,Kaki Bukit
508033201,SAM,SAM,1.3322336,103.913688,life_service,financial_service,atm,,2019,region-2020,241.0,Kaki Bukit
508033202,UOB,UOB,1.3321611,103.913688,life_service,financial_service,atm,Q2064074,2019,region-2020,241.0,Kaki Bukit
512042742,Cold Storage,Cold Storage,1.3014954,103.839658,shopping,general_store,supermarket,Q5142390,1880,region-1881,124.0,Somerset
512044820,Watsons,Watsons,1.3019116,103.8395478,medical,medical_retail,pharmacy,Q7974785,1880,region-1881,124.0,Somerset
512047011,Killiney Road Post Office,Singapore Post,1.3000678,103.8406505,life_service,postal_service,post_office,Q4049531,2013,region-2014,124.0,Somerset
512084963,Starbucks,Starbucks,1.3011744,103.8402411,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q37158,1880,region-1881,124.0,Somerset
512084967,dal.komm COFFEE,dal.komm COFFEE,1.3013209,103.8400063,food_and_beverage,beverage_shop,coffee_and_tea_shop,,1880,region-1881,124.0,Somerset
512086897,Fort Canning Open Air Green,Fort Canning Centre,1.2953885,103.8474312,recreation,arts_venue,performance_venue,,1814,region-1815,10.0,Fort Canning
512086910,Red ahous,Red House,1.2999047,103.8499576,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,,1917,region-1918,125.0,Bencoolen
518295856,KPO,Kopi,1.3001777,103.8407044,food_and_beverage,beverage_shop,alchoholic_beverage_shop,,2013,region-2014,124.0,Somerset
518302572,Jumbo Seafood @ Dempsey,Jumbo Seafood,1.3043031,103.8099818,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,,2013,region-2014,95.0,Ridout
518302603,Margarita's,Margarita's,1.3039505,103.8102061,food_and_beverage,food_and_beverage_shop,mixed_food_and_beverage_shop,,2013,region-2014,95.0,Ridout
518302672,PS cafe,PS Cafe,1.3047042,103.8110709,food_and_beverage,beverage_shop,coffee_and_tea_shop,,2013,region-2014,95.0,Ridout
518302785,PS Cafe,PS Cafe,1.3068516,103.8298378,food_and_beverage,food_and_beverage_shop,mixed_cuisine,,2035,region-2036,106.0,Boulevard
570522815,DBS,DBS,1.3110268,103.9202149,life_service,financial_service,atm,,1906,region-1907,183.0,Frankel
575526181,NTUC Fairprice,NTUC Fairprice,1.3123256,103.9253617,shopping,general_store,supermarket,Q6955519,1906,region-1907,183.0,Frankel
595078879,Shaw Theatres Lido,Shaw,1.3057891,103.8317959,recreation,arts_venue,performance_venue,Q7491172,2035,region-2036,106.0,Boulevard
598051934,NTUC Fairprice,NTUC Fairprice,1.3373298,103.9218002,shopping,general_store,supermarket,Q6955519,2019,region-2020,245.0,Bedok Reservoir
599015159,SPC,SPC,1.3141074,103.9317313,transportation,vehicle_maintenance,vehicle_fuel_station,,2001,region-2002,183.0,Frankel
