ID,Name,Brand,Latitude,Longitude,cate_1,cate_2,cate_3,brand:wikidata,Region_ID,District,Region
259964052,Starbucks,Starbucks,35.684236,139.7390476,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q37158,9,千代田区,麹町三丁目
260905233,Post Office,Post Office,35.6535001,139.7696534,life_service,postal_service,post_office,,143,中央区,豊海町
260906693,Denny's,Denny's,35.6613882,139.7761893,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q11320661,108,中央区,勝どき一丁目
261001572,DOIT,DOIT,35.7750725,139.7716323,shopping,household_goods_shop,rennovation_supplies_shop,,2629,足立区,西新井本町二丁目
261024380,SoftBankShop,SoftBankShop,35.6772184,139.7773429,shopping,miscellaneous_store,electronics_shop,Q11315281,184,中央区,八丁堀一丁目
265050600,7-Eleven,7-Eleven,35.625465,139.7451981,shopping,general_store,convenience_store,Q259340,206,港区,港南二丁目
265050634,Daily Yamazaki,Daily Yamazaki,35.6244224,139.7397757,shopping,general_store,convenience_store,Q5209392,910,品川区,北品川一丁目
265050797,7-Eleven,7-Eleven,35.6302997,139.7377652,shopping,general_store,convenience_store,Q259340,201,港区,高輪三丁目
275604591,Lawson,LAWSON,35.74801,139.7199045,shopping,general_store,convenience_store,Q1557223,2142,板橋区,板橋一丁目
275605844,Kohikan,Kohikan,35.7482853,139.7196284,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q11573290,2142,板橋区,板橋一丁目
275605846,MUFG Bank,MUFG Bank,35.7486275,139.7195297,life_service,financial_service,atm,Q988284,2142,板橋区,板橋一丁目
278280231,FamilyMart,FamilyMart,35.6265863,139.6723022,shopping,general_store,convenience_store,Q1191685,1024,目黒区,柿の木坂三丁目
295394438,Doutor Coffee Shop,Doutor,35.6812934,139.6981229,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q11322732,1649,渋谷区,代々木一丁目
295422419,FamilyMart,FamilyMart,35.685274,139.692864,shopping,general_store,convenience_store,Q1191685,1651,渋谷区,代々木三丁目
297026983,IDEMITSU,IDEMITSU,35.5873156,139.6744165,transportation,vehicle_maintenance,vehicle_fuel_station,,1204,大田区,田園調布本町
297271816,7-Eleven,7-Eleven,35.612461,139.625931,shopping,general_store,convenience_store,Q259340,1489,世田谷区,玉川三丁目
297275208,ENEOS,ENEOS,35.6031779,139.6544801,transportation,vehicle_maintenance,vehicle_fuel_station,,1338,世田谷区,尾山台三丁目
297275227,Showa Shell Sekiyu,Showa Shell Sekiyu,35.6026652,139.6560764,transportation,vehicle_maintenance,vehicle_fuel_station,Q277115,1338,世田谷区,尾山台三丁目
297275279,Cycle Base Asahi,Cycle Base Asahi,35.6019068,139.6601653,sports,sporting_goods_shop,sporting_equipment_shop,Q11257202,1335,世田谷区,奥沢八丁目
297295810,FamilyMart,FamilyMart,35.5926842,139.6756281,shopping,general_store,convenience_store,,1534,世田谷区,東玉川二丁目
302017808,カレーうどん千吉,カレーうどん千吉,35.5614027,139.7229333,food_and_beverage,food_and_beverage_shop,mixed_cuisine,,1146,大田区,蒲田四丁目
302164577,Gusto,Gusto,35.5694106,139.7310921,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q87724117,1121,大田区,大森中一丁目
302165265,Lawson,LAWSON,35.5625761,139.7260491,shopping,general_store,convenience_store,Q1557223,1248,大田区,東蒲田二丁目
307658342,Lawson,LAWSON,35.5917347,139.6757136,shopping,general_store,convenience_store,Q1557223,1199,大田区,田園調布一丁目
307662102,Three F,Three F,35.6047531,139.665645,shopping,general_store,convenience_store,Q11313419,1333,世田谷区,奥沢六丁目
307676128,Domino's,Domino's,35.6549775,139.6598603,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q839466,1483,世田谷区,代田三丁目
307676220,Showa Shell Sekiyu,Showa Shell Sekiyu,35.664032,139.6603229,transportation,vehicle_maintenance,vehicle_fuel_station,Q277115,1531,世田谷区,羽根木一丁目
309697268,Lawson,LAWSON,35.6691679,139.6636734,shopping,general_store,convenience_store,Q1557223,1323,世田谷区,大原一丁目
309854373,7-Eleven,7-Eleven,35.667896,139.645713,shopping,general_store,convenience_store,Q259340,1551,世田谷区,松原二丁目
310988090,7-Eleven,7-Eleven,35.7555172,139.7080858,shopping,general_store,convenience_store,Q259340,2207,板橋区,仲宿
311314017,FamilyMart,FamilyMart,35.7122568,139.778618,shopping,general_store,convenience_store,Q1191685,603,台東区,東上野四丁目
313856262,Honda,Honda,35.631117,139.6255476,transportation,vehicle_sale,vehicle_sale_shop,Q9584,1371,世田谷区,上用賀五丁目
