ID,Name,Brand,Latitude,Longitude,cate_1,cate_2,cate_3,brand:wikidata,Region_ID,Region,BA_ID,BA
20217109,Michigan Avenue Bridge Dock,Michigan Avenue Bridge Dock,41.8891458,-87.6225168,transportation,tranportation_service,shipping,,165,814.03,36.0,NEAR NORTH SIDE
282370094,7-Eleven,7-Eleven,41.9763227,-87.8373006,shopping,general_store,convenience_store,Q259340,8,7608.03,74.0,OHARE
286372562,Chipotle,Chipotle,41.9255742,-87.6492116,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q465751,769,703,67.0,LINCOLN PARK
287160478,Lincoln Park Postal Store,United States Postal Service,41.9256657,-87.6534292,life_service,postal_service,post_office,Q668687,769,703,67.0,LINCOLN PARK
300051942,McDonald's,McDonald's,41.8796732,-87.626422,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,375,3204,37.0,LOOP
306736993,Hampton Majestic Chicago Theatre District,Hampton,41.8808257,-87.628652,accomodation,multi_unit_accomodation,hotel,Q5646230,96,8391,37.0,LOOP
306737605,Subway,Subway,41.8801359,-87.6279402,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q244457,96,8391,37.0,LOOP
306737694,Jollibee,Jollibee,41.8802258,-87.6246653,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q37614,375,3204,37.0,LOOP
306737766,Corner Bakery,Corner Bakery,41.880648,-87.626422,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q5171598,375,3204,37.0,LOOP
306740690,Einstein Bros. Bagels,Einstein Bros. Bagels,41.892821,-87.6200636,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q5349788,165,814.03,36.0,NEAR NORTH SIDE
306742663,CVS Pharmacy,CVS Pharmacy,41.8806046,-87.6259094,medical,medical_retail,pharmacy,Q2078880,375,3204,37.0,LOOP
306744421,Staples,Staples,41.8834107,-87.6259067,shopping,books_and_stationery_shop,stationery_shop,Q785943,590,3201,37.0,LOOP
306744471,Starbucks,Starbucks,41.8843674,-87.626481,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q37158,590,3201,37.0,LOOP
306744602,Starbucks,Starbucks,41.8831644,-87.6263353,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q37158,590,3201,37.0,LOOP
307455970,McDonald's,McDonald's,41.8839093,-87.6259628,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q38076,590,3201,37.0,LOOP
308676840,Mobil,Mobil,41.9254868,-87.6563792,transportation,vehicle_maintenance,vehicle_fuel_station,Q109676002,796,704,67.0,LINCOLN PARK
310690970,Barnes & Noble,Barnes & Noble,41.8779269,-87.6273347,shopping,books_and_stationery_shop,book_shop,Q795454,375,3204,37.0,LOOP
313771462,Sbarro,Sbarro,41.8713984,-87.669906,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q2589409,5,8382,28.0,NEAR WEST SIDE
318274413,Jimmy John's,Jimmy John's,41.8822267,-87.6272156,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q1689380,590,3201,37.0,LOOP
346210195,Lou Malnati's Pizzeria,Lou Malnati's Pizzeria,41.9291497,-87.6535647,food_and_beverage,food_and_beverage_shop,mixed_cuisine,Q6685628,769,703,67.0,LINCOLN PARK
346233089,Julius Meinl,Julius Meinl,41.9615997,-87.6770653,food_and_beverage,beverage_shop,coffee_and_tea_shop,,234,8308,5.0,LINCOLN SQUARE
346234680,Starbucks,Starbucks,41.9616382,-87.6761596,food_and_beverage,beverage_shop,coffee_and_tea_shop,Q37158,234,8308,5.0,LINCOLN SQUARE
